Squadra,Nome,Squadra_Appartenenza,Ruolo,Ruoli_Mantra,Prezzo,Quotazione,Quotazione_Mantra,Fantacalcio_Id
"Marco","Butez","COM","P","Por",60,16,16,6966
"Marco","Tornqvist","COM","P","Por",1,1,1,7301
"Marco","Troilo","PAR","D","Dc",18,3,3,7235
"Marco","Bremer","JUV","D","Dc",41,15,15,2788
"Marco","Ramon","COM","D","Dc",40,10,10,6869
"Marco","Heggem","BOL","D","Dc,Ds",16,6,7,7212
"Marco","Ahanor","ATA","D","B,Ds,E",11,6,7,6916
"Marco","Puczka","GEN","D","Ds,E",4,2,2,7413
"Marco","Raterink","CAG","D","Dd,E",1,1,1,7346
"Marco","Couto","COM","D","Dd,E",12,8,8,6727
"Marco","Hainaut","VEN","D","Dd,E",6,3,3,6821
"Marco","Smolcic I.","COM","D","Dd,E",5,4,4,7014
"Marco","Perrone","COM","C","M,C",31,10,11,6151
"Marco","Ederson D.S.","ATA","C","M,C",36,12,13,5792
"Marco","Ngom","LEC","C","M,C",1,4,5,7322
"Marco","Dagasso","VEN","C","C",1,1,1,7481
"Marco","Atta","FIO","C","C,T",41,17,17,6908
"Marco","Fazzini","CAG","C","C,T",16,7,8,6010
"Marco","Diallo O.","PAR","C","W,A",2,3,2,7536
"Marco","Vlasic","TOR","C","T",39,14,13,5687
"Marco","Bonny","INT","A","Pc",16,7,6,6669
"Marco","Trepy","CAG","A","Pc",2,1,1,7317
"Marco","Esposito F.P.","INT","A","Pc",34,16,16,7071
"Marco","Ekhator","JUV","A","A",2,3,3,6822
"Marco","Esposito Se.","CAG","A","A",12,13,14,4463
"Lorenzo","Provedel","INT","P","Por",15,2,2,2814
"Lorenzo","Martinez Jo.","INT","P","Por",80,17,17,5116
"Lorenzo","Goldaniga","COM","D","Dc",1,1,1,418
"Lorenzo","N'Dicka","ROM","D","Dc",39,13,13,4317
"Lorenzo","Hien","ATA","D","Dc",11,8,8,6046
"Lorenzo","Bella-Kotchap","VEN","D","Dc",10,6,6,7253
"Lorenzo","Sverko","VEN","D","Dc,Ds",1,3,3,6673
"Lorenzo","Kolasinac","ATA","D","Dc,Ds",16,5,6,2640
"Lorenzo","Kossounou","ATA","D","Dc,Dd",7,3,3,5578
"Lorenzo","Delprato","PAR","D","B,Dd,E",10,8,8,6664
"Lorenzo","Bernasconi","ATA","D","Ds,E",12,6,6,7219
"Lorenzo","Ndaba","LEC","D","Ds,E",1,1,1,7182
"Lorenzo","Doig","SAS","D","Ds,E",5,4,4,5851
"Lorenzo","Oyono J.","FRO","D","Dd,E",2,1,1,7470
"Lorenzo","Dimarco","INT","D","E,W",80,32,30,254
"Lorenzo","Gilmour","NAP","C","M,C",1,3,3,5131
"Lorenzo","Lobotka","NAP","C","M,C",6,7,8,4287
"Lorenzo","Colombo L.","MON","C","M,C",1,3,3,7477
"Lorenzo","Cichella","FRO","C","M,C",2,4,4,7473
"Lorenzo","Rabiot","MIL","C","C,T",38,22,22,2379
"Lorenzo","Loftus-Cheek","MIL","C","C,T",2,4,4,4199
"Lorenzo","Gandelman","LEC","C","C,T",4,5,5,7318
"Lorenzo","Almqvist","PAR","C","W,A",1,4,3,6207
"Lorenzo","Cancellieri","LAZ","C","W,A",3,9,8,5500
"Lorenzo","Thuram","INT","A","Pc",116,29,29,4871
"Lorenzo","Colombo","GEN","A","Pc",19,11,10,4923
"Lorenzo","Lukaku","NAP","A","Pc",3,10,9,2531
"Lorenzo","Yeboah J.","VEN","A","A",3,8,8,6904
"Damiano","Desplanches","FRO","P","Por",1,2,2,7463
"Damiano","Perin","JUV","P","Por",9,6,6,218
"Damiano","Gatti","JUV","D","Dc",12,4,4,5831
"Damiano","Lucumì","BOL","D","Dc",11,8,8,6042
"Damiano","Kristensen T.","UDI","D","Dc,Dd",21,7,8,6485
